id,Domisili,Apakah Anda Mahasiswa / Fresh Graduate,Pekerjaan & Instansi Saat Ini,Tools yang Ingin Dipelajari,Target Join Komunitas,Tau Seara Data Dari Mana?,Provinsi,Cari Kerja
498,Makassar,Tidak,Data Analyst - Erajaya,"SQL, Python, Power BI, Looker Studio, Ingin belajar automasi update data","Upskill, Networking",LinkedIn,Sulawesi Selatan,0
499,Depok,Tidak,Diesel one group,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,1
500,DEPOK,Tidak,Diesel one group,"SQL, Python, Power BI, Looker Studio, Tableau","Upskill, Networking, Switch Career",LinkedIn,Jawa Barat,0
501,Jawa Timur,Ya,-,"Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking, Switch Career",LinkedIn,Jawa Timur,1
502,Klaten,Ya,"Finance Analyst, PT Firla Tata Investama","Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Upskill, Networking",LinkedIn,Jawa Tengah,0
503,Tangerang,Ya,Sales Advisor,"Excel, SQL, Power BI, Databases, Tableau","Cari Kerja, Switch Career",LinkedIn,Banten,1
504,Surabaya,Tidak,Inline Control Process ,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau",Switch Career,LinkedIn,Jawa Timur,0
505,Bogor,Tidak,Sedang mencari pekerjaan,"Excel, SQL, Python, Power BI, Databases","Cari Kerja, Upskill, Networking",LinkedIn,Jawa Barat,1
506,Sulawesi Selatan,Ya,MAHASISWA,"Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sulawesi Selatan,1
507,Medan,Ya,Mahasiswa USU,"Excel, SQL, Python, Power BI, Tableau","Cari Kerja, Upskill, Networking",LinkedIn,Sumatera Utara,1
